# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "8",
#    "detectorUnit": "MeV",
#    "dettyp": "AVG-ENERGY",
#    "name": "AVG-ENERGY",
#    "pageDiffUnits": "MeV",
#    "pageFilterName": "Protons",
#    "pageNormalized": "3",
#    "pageNumber": "1",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[70 70 70]",
#    "unit": "MeV"
#}
# --------------------------------
Position (X) [cm], AVG-ENERGY [MeV]
0.7450000000000001, 47.40931937975985
0.7549999999999999, 47.559511705170834
0.7650000000000001, 47.69474610836575
0.7749999999999999, 47.86748495653061
0.7850000000000001, 48.0087024960116
0.7949999999999999, 48.152719833606604
0.8050000000000002, 48.29836167626784
0.815, 48.444001293051166
0.8250000000000002, 48.60023239156476
0.835, 48.780183882823856
0.8449999999999998, 48.90947718494866
0.855, 49.07604892726143
0.8649999999999998, 49.20978726611542
0.875, 49.38402431208484
0.8849999999999998, 49.4933603938342
0.895, 49.69439635026445
0.9049999999999998, 49.81783041974136
0.915, 49.973718223653755
0.9249999999999998, 50.058905770562056
0.935, 50.25967628051732
0.9449999999999998, 50.39784045490561
0.9550000000000001, 50.55098791729982
0.9649999999999999, 50.67739452809534
0.9750000000000001, 50.79763832252918
0.9849999999999999, 50.94711530523728
0.9950000000000001, 51.08215624833476
1.005, 51.22957964316635
1.0150000000000001, 51.390377259322584
1.025, 51.52097787427703
1.0350000000000001, 51.6569587315446
1.045, 51.84086874029065
1.0550000000000002, 51.959378016566994
1.065, 52.059822877692405
1.0750000000000002, 52.26693957326241
1.085, 52.406585478067846
1.0949999999999998, 52.561285903829
1.105, 52.68012686501346
1.1149999999999998, 52.791620557398815
1.125, 52.95431984502299
1.1349999999999998, 53.11787739456831
1.145, 53.22942190303483
1.1549999999999998, 53.34726909043211
1.165, 53.49256096793973
1.1749999999999998, 53.65534284042144
1.185, 53.79696910994379
1.1949999999999998, 53.950284543568
1.205, 54.08829452251501
1.2149999999999999, 54.22787828657407
1.225, 54.33766625930269
1.2349999999999999, 54.46187537044313
1.245, 54.61573853348026
1.255, 54.755970165570666
1.2650000000000001, 54.88574988225715
1.275, 55.0561238520682
1.2850000000000001, 55.21834264632417
1.295, 55.3018146146489
1.3050000000000002, 55.464822847948604
1.315, 55.57721916696699
1.3250000000000002, 55.71415445555692
1.335, 55.81247678086437
1.3449999999999998, 55.96739106032146
1.355, 56.07862615844344
1.3649999999999998, 56.23905503448362
1.375, 56.40385219969149
1.3849999999999998, 56.550525768616446
1.395, 56.674066286677
1.4049999999999998, 56.792770302452276
1.415, 56.920139883776294
1.4249999999999998, 57.0399750702901
1.435, 57.1957182045126
1.4449999999999998, 57.3165961681967
1.455, 57.45254190208634
1.4649999999999999, 57.60102563009611
1.475, 57.71883623299414
1.4849999999999999, 57.858174585431
1.495, 57.967118726109014
1.505, 58.069037807035656
1.5149999999999997, 58.178405231324824
1.5250000000000004, 58.32862780482755
1.5350000000000001, 58.46315925842908
1.545, 58.61392670529613
1.5549999999999997, 58.72663362794874
1.5650000000000004, 58.88307926754994
1.5750000000000002, 59.028166672654585
1.585, 59.15257152105462
1.5949999999999998, 59.27055840435927
1.6049999999999995, 59.44314099657076
1.6150000000000002, 59.582297482681334
1.625, 59.709861788966165
1.6349999999999998, 59.8309534580885
1.6449999999999996, 59.96554110696326
1.6550000000000002, 60.07036378455518
1.665, 60.20510567487729
1.6749999999999998, 60.34760415145873
1.6849999999999996, 60.420270714464316
1.6950000000000003, 60.45921759542134
1.705, 60.450464568226536
1.7149999999999999, 60.46789824050411
1.7249999999999996, 60.449199049781434
1.7350000000000003, 60.47459143522195
1.745, 60.465298833756606
1.755, 60.47110219748031
1.7649999999999997, 60.44783258154283
1.7750000000000004, 60.45507266041415
1.7850000000000001, 60.45280097660553
1.795, 60.45156933148819
1.8049999999999997, 60.46114516494438
1.8150000000000004, 60.46471321762515
1.8250000000000002, 60.46164187310764
1.835, 60.46405605293096
1.8449999999999998, 60.47837325459165
1.8550000000000004, 60.49121580433913
1.8650000000000002, 60.478191644081335
1.875, 60.46248517888787
1.8849999999999998, 60.48466343745245
1.8949999999999996, 60.469637117509976
1.9050000000000002, 60.482586175112104
1.915, 60.48169585576578
1.9249999999999998, 60.486484258785175
1.9349999999999996, 60.47980848873278
1.9450000000000003, 60.486155891120326
1.955, 60.48249424822042
1.9649999999999999, 60.479279398099266
1.9749999999999996, 60.47153024738267
1.9850000000000003, 60.44647081615869
1.995, 60.324541306662844
2.005, 27.25167201487289
2.0149999999999997, 21.667404395928013
2.0250000000000004, 21.899563697510445
2.035, 20.4325941388229
2.045, 18.683796811116558
2.0549999999999997, 19.829125362839303
2.0650000000000004, 21.27105867202764
2.075, 20.97414678383828
2.085, 21.78003127919155
2.0949999999999998, 22.08203166027177
2.1050000000000004, 21.250370327561797
2.115, 21.456109576466634
2.125, 19.063989996298364
2.135, 17.37822584925169
2.1449999999999996, 17.057187773238965
2.1550000000000002, 14.808442217858536
2.165, 13.524025563523391
2.175, 13.44274209213103
2.1849999999999996, 14.488009664990003
2.1950000000000003, 18.03080161885089
2.205, 20.808263043534076
2.215, 20.488023915617088
2.2249999999999996, 20.67681975931981
2.2350000000000003, 20.427232921377765
2.245, 20.13091610958819
2.255, 20.369087269981623
2.2649999999999997, 20.371612039178228
2.2750000000000004, 20.465118873133765
2.285, 21.508132795779932
2.295, 21.85347719178157
2.3049999999999997, 21.924835097380868
2.3150000000000004, 18.870069536703916
2.325, 18.32723645340571
2.335, 17.8369087577124
2.3449999999999998, 18.60709077657908
2.3550000000000004, 16.892630466520163
2.365, 16.203581189609242
2.375, 15.40075351636909
2.385, 15.418562132865489
2.3949999999999996, 16.268041382333983
2.4050000000000002, 17.635266651051626
2.415, 17.120586622852112
2.425, 20.452073803157898
2.4349999999999996, 20.115791495771866
2.4450000000000003, 18.835582245462337
2.455, 19.15827866766656
2.465, 18.09627548249179
2.4749999999999996, 16.40923938117753
2.4850000000000003, 17.27215500011566
2.495, 14.472589159911477
